text	label
EU rejects German call to boycott British lamb .	[('ORG', 0, 0), ('MISC', 2, 2), ('MISC', 6, 6)]
Peter Blackburn	[('PER', 0, 1)]
BRUSSELS 1996-08-22	[('LOC', 0, 0)]
The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep .	[('ORG', 1, 2), ('MISC', 9, 9), ('MISC', 15, 15)]
Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .	[('ORG', 5, 6), ('PER', 10, 11), ('LOC', 0, 0), ('LOC', 23, 23)]
""" We do n't support any such recommendation because we do n't see any grounds for it , "" the Commission 's chief spokesman Nikolaus van der Pas told a news briefing ."	[('ORG', 20, 20), ('PER', 24, 27)]
He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .	[('ORG', 22, 23)]
He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .	[('ORG', 7, 7), ('PER', 10, 11)]
Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .	[('PER', 0, 0), ('LOC', 7, 7), ('LOC', 9, 9), ('MISC', 2, 2), ('MISC', 17, 19), ('MISC', 21, 21)]
But Fischler agreed to review his proposal after the EU 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .	[('ORG', 9, 9), ('PER', 1, 1)]
"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """	[('ORG', 12, 12), ('PER', 3, 5), ('PER', 9, 9), ('MISC', 0, 0)]
.	[]
Only France and Britain backed Fischler 's proposal .	[('PER', 5, 5), ('LOC', 1, 1), ('LOC', 3, 3)]
The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .	[('ORG', 1, 1)]
Sheep have long been known to contract scrapie , a brain-wasting disease similar to BSE which is believed to have been transferred to cattle through feed containing animal waste .	[('MISC', 14, 14)]
British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .	[('LOC', 33, 33), ('MISC', 0, 0), ('MISC', 20, 20), ('MISC', 27, 27)]
""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio ."	[('ORG', 22, 26), ('ORG', 28, 28), ('ORG', 36, 37), ('PER', 31, 33), ('LOC', 17, 17)]
Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .	[('LOC', 0, 0), ('MISC', 16, 16)]
Germany imported 47,600 sheep from Britain last year , nearly half of total imports .	[('LOC', 0, 0), ('LOC', 5, 5)]
It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .	[('MISC', 6, 6)]
Rare Hendrix song draft sells for almost $ 17,000 .	[('PER', 1, 1)]
LONDON 1996-08-22	[('LOC', 0, 0)]
A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .	[('PER', 12, 13), ('LOC', 9, 9)]
"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 ."	[('PER', 22, 22), ('LOC', 1, 1), ('LOC', 28, 28), ('MISC', 15, 18)]
At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .	[('LOC', 13, 13), ('MISC', 10, 10)]
Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .	[('PER', 14, 14), ('PER', 18, 19)]
They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .	[('PER', 13, 13), ('MISC', 22, 22)]
The guitarist died of a drugs overdose in 1970 aged 27 .	[]
China says Taiwan spoils atmosphere for talks .	[('LOC', 0, 0), ('LOC', 2, 2)]
BEIJING 1996-08-22	[('LOC', 0, 0)]
China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .	[('PER', 27, 28), ('LOC', 0, 0), ('LOC', 4, 4), ('LOC', 16, 17), ('LOC', 22, 22), ('LOC', 33, 33), ('MISC', 24, 24)]
"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """	[('ORG', 20, 21), ('ORG', 26, 26), ('PER', 23, 24), ('LOC', 18, 18), ('LOC', 43, 43), ('MISC', 4, 4)]
State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .	[('PER', 10, 11), ('LOC', 3, 3), ('LOC', 8, 8), ('LOC', 19, 19)]
""" Now is the time for the two sides to engage in political talks ..."	[]
